Tweet,Sentimen
akun satu ini juga sama iya nya kurang ajar seperti itu terhadap bapak presiden ku yth duanya tukang hoax mohon ditindak lanjuti bapak kepolisian yth polri bapak kapolri yth,Positif
semoga ini menjadi perhatian khusus kapolri agar kita semua tidak sampai terpancing dan terpecah belah disana sangat jelas terlihat yg kawal anggota polisi,Positif
mendampingi kapolri dalam kunjungan kerja di bali upaya percepatan vaksinasi booster jelang event internasional serbuan vaksin bali  februari  salamsehat salamtangguh,Positif
kadang terlihat kapolri sangat lamban pdhl bnyak jenderal di mabes yg bisa jujur bisa dipercaya tegak lurus nuat apa di gondeli yg neko masyarakat yg menilai kondisi polri skrg tdk kondusif,Negatif
kami butuh keadilan pak presiden pak kapolri binsar ri karna bandar narkoba beserta oknum polisi diduga bermain dengan bandar besar narkoba melaporkan masyarakat yg kritik terkait narkoba mohon di atensi pak,Negatif
sikumis pelundung tambang illegal kabareskrim reskrim kapan ditangkap pak kapolri,Negatif
jaga sinergitas tni polri untuk nkri aman dan nyaman ringankan tangan untuk memberikan kebaikan mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri kapoldasumsel arachmadw rachmadwibowo polisisumsel,Positif
mantap bravo pak kapolri,Positif
waduh keliharan skali jjwa iblisnya bharada e anak buahnya diperintahkan ya pasti jalan coba bayangkan sendjri kl dia menolak perintah atasannya apa tdk berabe karier nya malah kami rakyat menilai loyalitasnya pd atasan kapolri berikan dia kenaikan pangkat dan savebrada e,Negatif
kapolri saya bangga bisa berjumpa dengan kalian,Positif
ini mah harus ditangkap dia niat mau kudeta ayo pak kapolri,Positif
kasus penganiayaan yang dilakukan oleh  orang yang dilaporkan di sudah hampir  bulan tidak ada perkembangan apa harus di viral dulu baru di proses pak info detail sudah terkirim di inbok pak kapolri silahkan di buka mumpung bapak lagi di jogja,Negatif
ya pak wapres tinggal berdiskusi dengan presiden selanjutnya panggil kapolri kpk kejaksaan berikan perintah kepada mereka itu akan lebih baik klo tidak bisa dan tidak sesuai mundur akan lebih dihargai itu action niat yg kuat,Positif
salut buat pak kapolri jend pol listyo sigit prabowo dan jajaran tidak ada mengenal kata istirahat,Positif
aman bagaimana anggota bapak kapolri ingin berkata jujur malah ingin ditahan apa tunggu perang saudara saya baru saja menyanjung bapak kapolri tapi apa ternyata saya salah mengartikan,Negatif
lu yang ngentod kapolri yg suru mikir laaa situ waras,Negatif
teman sekalian mohon bantuannya untuk di up agar dapat di notice oleh pak kapolri saat ini proses penyidikan telah berjalan akan tetapi di takutkan korban mendapat ancaman atau hal lain yang dapat mengganggu proses hukum mohon bantuannya,Positif
tahu kapolri sekarang sepertinya sangat petagu jk berhadapan dg genk kadrun otak separoh ini,Negatif
kenapa emangnya kok ga disalami pak jokowi kayak anak kecil sepengetahuan saya pak kapolri sudah bekerja dengan baik meskipun tidak berkenan tetaplah disalami kan ada adab dan etikanya,Negatif
polri reskrim backingnya pak kapolri maknya ngak ada yg berani menangkapnya,Negatif
pentinglh pasti klu ad apa yng di slhn kapolri,Positif
polri mantap bapak kapolri jaya terus polri,Positif
kapolri digeprek warganet ketawa lagi lu,Negatif
tanya hatimu aja pa kapolri kalo benar lanjutkan kalo ada yg salah serasa tabu maka lihat kembali uu kepolisian jangan pertontonkan sepertinya hanya pejabat yg bisa nyuruh nyuruh polisi pengamanan pernikahan terukur n diukur hemat anggaran karena negeri ini banyak urang,Negatif
sekelas kapolri tpi tdk berkelas berantas tuh mafia tambang,Negatif
cen polri reskrim sambo itu gank nya sdh mngakar kuat sejak lama jd klo membasmi pentolan nya musti sampe ke akarnya dan itu tdklah mudah buktinya presiden sampe ngasih komando brp kali ke kapolri korban sambo pun ada yg tdk tahu menahu spt art nya jd sabar saja itung kita ngliat sinetron,Negatif
kapolri tidur,Negatif
numpang nanya sejak kpn ya jd pengusaha nya maaf klo sy belajar dari mantan kapolri hoegeng yg melarang istrinya jd pengusaha kembang krn takut dimanfaatkan koleganya saat menjabat dirjen imigrasi,Negatif
maaf pak kapolri polri kami sudah berkali melaporkan balap liar di sekitar stadion gbla ke polisi kok gak ada tindakan presisi dan terukur ya marak terus knalpot bising balapan liar pak harus dilempar batu mahalini paha anya kaesang wartawan,Negatif
salah sampean iku mas mereka itu sudah sepenuhnya melayani sesuai prosedur terukur terarah presisi sesuai sop bhkn janji pak kapolri ketika uji kelayaakn di dpr urus pelayanan dipolisi bkal secepat restoran cepat saji,Negatif
polri luar biasa bapak kapolri semoga sehat dan sukses selalu bravo polri,Positif
pasalnya dalam satu kesempatan kamaruddin menyebut polisi itu mengabdi kepada negara hanya satu minggu dan sisanya kepada mafia,Negatif
pro kapolri diangkat presiden jadi kgk mungkin nangkap presiden,Negatif
yth bpk kapolri mohon memonitor polresta sleman agar upaya penangkapan dokter palsu segera dimulai,Positif
polri mantap bapak kapolri masih cinta kebudayaan bangsa dgn bukti hadir pada kongres pagar nusa ke iv bravo polri untuk negeri,Positif
cega awalnya dari pemerintah dulu bikin peraturan bilamana ceramah ada konten mengarah ke radikalisme polisi siap memberhentikan ceramah dan memproses penceramah ke ranah hukum harus tegas maaf mungkin krn kapolri non muslim jd geraknya agak takut takut di beri jargon anti islam,Negatif
cega pak knp kinerja kapolri ini tdk di kontrol knp dbiarkan sj seenaknya spt itu tdk tg jwb di jabatan utk mnegakkan hukum peraturan di nkri trmasuk ngontrol kinerja pnegakan hukum dr org yg dipimpinnya jk merugikan bangsa negara knp gak di ganti aja,Negatif
djoe tag jokowi kapolri densus letkol corbuzier tuh teroris benaran lagi beraksi bukan teroris drama2aan,Negatif
minta pensiun mungkin kapolri kapolres kapolda,Negatif
warga sultra terbunuh di papua knpi ultimatum panglima tni dan kapolri ancam bentuk laskar perang,Negatif
kalau kpk tidak berani tegas mengusut kasus fe jangan banyak alasan yg di cari2x yg sudah ada laporan kasus fe data fakta dari bpk 2 alat bukti yg cukup saksi saksi ahli yg mendukung serahksn saja ke penegak hukum kejagung kapolri biar di usut tuntas sampai selesai,Positif
perasaan kasus pelecehan ini udah closed kata kapolri kok bisa muncul lagi wkwk yakali udah nenek2 masih aja kepedean,Negatif
tewasnya warga sipil untuk kesekian kalinya yg terjadi tempo hari di papua atas aksi anggota kelompok kriminal bersenjata kkb mengindikasikan bahwa panglima tni dan kapolri gagal menciptakan stabilitas keamanan di negeri ini alerta savekorbankkb indonesiadaruratkeamanan,Negatif
gmana nih pak pangab dan kapolri itu kan rakyat indonesia yg di bunuh dg sadis,Negatif
malas dengan spekulasi gw berpatokan dengan omongan kapolri soal motif yg disampaikan dalam rdp dengan dpr akhir agustus lalu itu aja udah cukup,Negatif
apa kabar pak kapolri jenderal semoga bapak sehat selalu dan semoga institusi polri bersih dari para parasit yg mengambil hidup dari nama besar polri,Positif
nah kalo ini mention kapolri masokkk yg onoh mention2 kapolri beserta jajaran nya tapi masalah nya kyk hari minggu alias ga masokk wkwkw,Negatif
djoe panglima tni kapolri menhan coba 11 000 tni polri dikirim ke papua untuk tuntaskan kkb ini lebih baik dari pada ngamanin pesta,Positif
ada info gaib bahwa telah terjadi perdamaian antara kapolri amp kabareskrom yg merupakan seniornya kapolra saat ini info tersebut mengatakan bahwa jalannya perdamaian itu berjalan dgn suasana mencekam kapolra saja bukan dipanggil pak sama kabareskrom tapi dipanggil dek,Negatif
eka bubarkan saja itu kepolisian gak ada gunanya kalo sama akun recehan kayak gitu takut ganti kapolri nya,Negatif
bantu kami menulis pesanperubahan mendesak kapolri lindungi hak kebebasan berserikat dan berkumpul,Negatif
hrs reformasi total pr berat buat pak kapolri,Negatif
kapolri juga komunis tuuu,Negatif
hehe liat laganya dia besar nanti ccok jadi kapolri,Negatif
mari umat islam kita doa bersama agar kasus km50 dapat dibuka tabirnya dan dapat diketahui dgn terbuka tanpa ada fitnah lg didlm nya semoga kapolri dpt bekerjasama mengungkap kasus km50 tanpa ada paksaan dan dgn keridloannya aamiin,Positif
watch pengrusakan gedung 9 terjadi setelah penghentian glow belum lagi pemindahan lab treub dan pemindahan peepustakaan kebun raya bogor pelanggaran2 terhadap uu cb no 11 2010 peristiwa tsb sdh dilaporkan kpd kapolri up kabareskrim mabes polri agar dapat menindak tegas para pelaku,Negatif
kepercayaan publik ke polri rendah ipw minta kapolri segera benahi,Negatif
watch atas desakan masyarakat glow dihentikan tgl 21 oktober 2022 selang berapa waktu terjadi pengrusakan gedung 9 di kawasan cb peristiwa pengrusakan sdh dilaporkan kpd kapolri up kabareskrim mabes polri berharap penegakan hukum sbg akses keadilan dapat menindak tegas para pelaku,Negatif
bapak presiden segera pak intruksikan kapolri dan jajarannya untuk menindak tegas bagi para pelaku pengrusakan agar tidak terjadi lagi pelanggaran terhadap uu no 11 2010 ttg cagar budaya di kawasan cagar budaya kebun raya bogor watch,Negatif
kalau kejadian ini benar mengapa presiden ri panglima tni densus 88 kapolri menhan menkopolhukam dpr ri mpr ri wajib turun tangan jangan diulur ulur menjadi beban penderitaan rakyat,Negatif
pernikahan kaesang erina berjalan aman kapolri puji kolaborasi tni polri,Positif
kata pejabat negara tidak boleh kalah dengan radikalisme premanisne anarkhisme intoleran dsb sekarang agar dibuktikan omongan para pejabat halloo kapolri jangan kalah dengan pok intoleran,Negatif
otaknya ex kapolri sesat,Negatif
tuntaskan kasus libatkan pati polri guna kembalikan kepercayaan publik pada institusi,Positif
tingkat kepercayaan publik terhadap polri paling rendah ipw minta kapolri benahi reserse,Negatif
kapolri bpk listyo sigit prabowo selamatkan dokter richard dari ketidakadilan hukum tandatangani petisi via id,Negatif
bapak presiden bpk mentri agama kapolri mohon segera disikapi dan ditindak oknum2 yg merusak persatuan dan kesatuan serta kebinekaan di negara kesatuan kita,Negatif
tv apakah kapolri akan memberantas mafia solar ilegal di musi bayuasin ini kita lihat perkembangannya polri,Negatif
itulah isi akalnya ps kalau sampai dia jadi presiden trus tiba2 ahok dia angkat jadi jendral lalu dikasih jabatan panglima denny siregar jadi mentri pendidikan sambo dibebasin diangkat jadi kapolri rafi ahmadyah diangkat jadi mentri pemuda piye yo,Negatif
yth kapolri densus bnpt stop mendiscredit islam dgn isis teroris radikal intoleransi karena bukan akhlaq muslim di nkri teroris isis akhlaq radikal maupun intoleransi semua fitnah negara phobia islam,Negatif
indahnya toleransi indonesia cc yth bapak menkopolhukam bapak kapolri bapak presiden saya percaya indonesia akan baik2 saja,Positif
tuan presdent panglima tni tni kapolri lihatlah anak bangsamu menjadi korban keganasan opm,Negatif
teroris itu fakta ada korbannya khususnya natal bahwa dalam perjalanannya ada sesuatu jangan dong pimred serra merta menggampangkan tanya pak kapolri polri kalo mmg ada oknum yg terkait narkoba pisahkan dulu dong,Negatif
justru yg ga tegas adl kapolri amp penegak hukum coba klo itu pelakunya orang awam pasti sdh di dor mati selesai tp ini plakunya jenderal berbintang kaya raya pny anggota bawah smp atas jd berkelit jgn mengkaburkan pasal yg sdh jelas mentang pny duit bnyk amp berpangkat tinggi,Negatif
selamat nggih pak kapolri,Positif
polri tni kapolri lembek anak buah pasti lembek,Negatif
tv eliezer dan kapolri jg dibohongi,Negatif
pak kapolri pak polri tlg akun seperti ini yg jelas menyebarkan hoax fitnah dan kebencian diawasi jgn narasi kebohobgan seperti ini dibiarkan,Negatif
kelakuan oknom berseragam yg kalo dibiarkan akan dibungkam ayo bersuara jangan mau diintimidasi poldajatim kapolri,Negatif
pak kapolri yg baik perintah berantas judi online bagus tapi knapa situs2 seperti ini masih makin menjamur dan terkesan dibiarkan sudah mengadu ke tidak ada respon mohon ditindak segera link,Negatif
izin pa kapolri kami beranggapan bahwa polda kalteng tdk presisi masyarakat telah melaporkan pt susantri permai yg terindikasi melakukan pelanggaran kehutanan 7 merugikan negara miliran rupiah tapi tdk ditindak lanjuti malah sebaliknya msyrkt yg dilidik oleh polda kalteng,Negatif
terus tapi apa gubernur atau bupati tidak rebutan nyediakan tenda dekorasi rias manten catering dan sebagainya apa iya menteri pertahanan dan kapolri misalnya tidak perintah ke seluruh jajarannya untuk ngerahkan polisi dan tentara plus peralatan perang untuk,Negatif
semoga ini menjadi perhatian khusus kapolri agar kita semua tidak sampai terpancing dan terpecah belah disana sangat jelas terlihat yg kawal anggota polisi,Positif
kami butuh keadilan pak presiden pak kapolri binsar ri karna bandar narkoba beserta oknum polisi diduga bermain dengan bandar besar narkoba melaporkan masyarakat yg kritik terkait narkoba mohon di atensi pak,Negatif
ini mah harus ditangkap dia niat mau kudeta ayo pak kapolri,Negatif
kasus penganiayaan yang dilakukan oleh 7 orang yang dilaporkan di sudah hampir 2 bulan tidak ada perkembangan apa harus di viral dulu baru di proses pak info detail sudah terkirim di inbok pak kapolri silahkan di buka mumpung bapak lagi di jogja,Negatif
salut buat pak kapolri jend pol listyo sigit prabowo dan jajaran tidak ada mengenal kata istirahat,Positif
tanya hatimu aja pa kapolri kalo benar lanjutkan kalo ada yg salah serasa tabu maka lihat kembali uu kepolisian jangan pertontonkan sepertinya hanya pejabat yg bisa nyuruh nyuruh polisi pengamanan pernikahan terukur n diukur hemat anggaran karena negeri ini banyak urang,Negatif
sekelas kapolri tpi tdk berkelas berantas tuh mafia tambang,Positif
maaf pak kapolri polri kami sudah berkali2 melaporkan balap liar di sekitar stadion gbla ke polisi kok gak ada tindakan presisi dan terukur ya marak terus knalpot bising balapan liar pak harus dilempar batu mahalini paha anya kaesang wartawan,Negatif
salah sampean iku mas mereka itu sudah sepenuhnya melayani sesuai prosedur terukur terarah presisi sesuai sop bhkn janji pak kapolri ketika uji kelayaakn di dpr urus pelayanan dipolisi bkal secepat restoran cepat saji,Positif
polri luar biasa bapak kapolri semoga sehat dan sukses selalu bravo polri,Positif
sama febri sih gak penting kapolri ngomong apa yg penting ngotot kasian lepas dr jubir kok downgrade mana sadar febri kalo dia sdh mempermalukan kapolri,Negatif
setelah membaca pada alinea terkhir lunglai kondisi karena adanya netralisasi statement lalu ngapain juga bikin video sampe viral kalau gak berdata dan berbacking yang strong mending diem publik juga dah paham,Negatif
bantu kami pak kapolri warga kami ketakutan,Positif
yth pak tolong rakyat kami tanahnya dirampas bahkan tdk boleh masuk dilarang satpam mohon keadilan bagi rakyat solusi terbaik cepat menurut fkmti sdh puluhan ribu yg lapor ke fkmti buka warkah dikawal media tv solusi terbaik cepat kalau spt skr 100thn tdk beres,Negatif
pak pak kapolri bantu kami kemana lagi kami melapor mafialahan mafiasawit,Positif
mereka berani berkhianat karena polisi dan tni sudah bisa digunakan untuk menghajar rakyat yang protes mereka kuasai polisi dan tni dengan cara mantan mantan kasad panglima tni atau kapolri mereka jadikan pejabat setelah pensiun silahkan cek,Negatif
mantab pak kapolri sigap berwibawa semoga acara pernikahan putra ketiga presiden kita berjalan lancar dan aman dan mas bersama mba erina samawa sampai maut memisahkan kalian amin,Positif
sama sama ada prabowo nya menhan yang gagah perkasa. kapolri yang santun dan luwes.,Positif
